manifesto_id,party,date,mean_score,n_sentences
62320_200011,62320,200011,0.0956,387
62420_200011,62420,200011,0.2377,551
62620_200011,62620,200011,-0.0746,672
62622_200011,62622,200011,0.027,425
62320_200406,62320,200406,0.1611,586
62420_200406,62420,200406,0.1988,707
62623_200406,62623,200406,0.026,484
62320_200601,62320,200601,0.1084,610
62420_200601,62420,200601,0.1579,1167
62623_200601,62623,200601,0.0614,520
62110_200810,62110,200810,0.1017,2029
62320_200810,62320,200810,0.1254,623
62420_200810,62420,200810,0.1418,346
62623_200810,62623,200810,0.0947,273
62110_201510,62110,201510,0.2206,453
62320_201510,62320,201510,0.1969,768
62420_201510,62420,201510,0.2442,747
62623_201510,62623,201510,0.1999,1325
62110_201910,62110,201910,0.1597,1013
62320_201910,62320,201910,0.1617,1042
62420_201910,62420,201910,0.3598,786
62623_201910,62623,201910,0.1212,1118
62110_202109,62110,202109,0.1339,1164
62320_202109,62320,202109,0.1366,1329
62420_202109,62420,202109,0.2195,1599
62623_202109,62623,202109,0.0431,1956
63320_196112,63320,196112,-0.1947,137
63330_196112,63330,196112,-0.0446,60
63620_196112,63620,196112,-0.0075,235
63810_196112,63810,196112,-0.1592,69
63320_196311,63320,196311,0.0257,181
63330_196311,63330,196311,0.1291,262
63620_196311,63620,196311,0.1271,173
63810_196311,63810,196311,-0.2381,60
63320_196611,63320,196611,0.0964,215
63330_196611,63330,196611,0.1218,372
63620_196611,63620,196611,0.1789,210
63810_196611,63810,196611,0.0434,119
63320_196910,63320,196910,0.0819,410
63330_196910,63330,196910,0.0547,69
63620_196910,63620,196910,0.0786,248
63810_196910,63810,196910,0.0439,79
63320_197212,63320,197212,0.1664,493
63330_197212,63330,197212,0.0668,138
63620_197212,63620,197212,0.1959,374
63810_197212,63810,197212,0.1298,74
63330_197405,63330,197405,0.1439,243
63620_197405,63620,197405,0.139,246
63810_197405,63810,197405,0.1087,80
63320_197512,63320,197512,0.1183,418
63330_197512,63330,197512,0.0676,287
63620_197512,63620,197512,0.2726,218
63810_197512,63810,197512,-0.0819,199
63320_197712,63320,197712,0.1544,299
63330_197712,63330,197712,0.0692,47
63620_197712,63620,197712,0.1443,394
63810_197712,63810,197712,0.203,392
63320_198010,63320,198010,0.1222,260
63620_198010,63620,198010,0.2051,942
63810_198010,63810,198010,0.2289,200
63320_198303,63320,198303,0.1553,345
63620_198303,63620,198303,0.1947,1156
63810_198303,63810,198303,0.2387,190
63320_198412,63320,198412,0.1728,376
63620_198412,63620,198412,0.2017,634
63810_198412,63810,198412,0.1706,214
63320_198707,63320,198707,0.2547,193
63810_198707,63810,198707,0.1327,216
63320_199003,63320,199003,0.2956,474
63620_199003,63620,199003,0.1521,541
63810_199003,63810,199003,0.0959,419
63320_199303,63320,199303,0.2339,580
63620_199303,63620,199303,0.1071,381
63810_199303,63810,199303,0.1394,108
63320_199603,63320,199603,0.1424,2544
63321_199603,63321,199603,0.0435,412
63320_199810,63320,199810,0.2514,161
63321_199810,63321,199810,0.069,90
63620_199810,63620,199810,0.2013,104
63810_199810,63810,199810,0.2013,104
63320_200111,63320,200111,0.1857,228
63321_200111,63321,200111,0.0226,266
63620_200111,63620,200111,0.1744,268
63810_200111,63810,200111,0.1769,157
63110_200410,63110,200410,0.1345,156
63320_200410,63320,200410,0.2513,336
63620_200410,63620,200410,0.1777,298
63810_200410,63810,200410,0.2031,76
63110_200711,63110,200711,0.1301,124
63320_200711,63320,200711,0.0562,278
63620_200711,63620,200711,0.22,150
63810_200711,63810,200711,0.2155,87
63110_201008,63110,201008,0.2364,1315
63320_201008,63320,201008,0.3115,438
63620_201008,63620,201008,0.2542,46
63621_201008,63621,201008,0.2542,46
63810_201008,63810,201008,0.2932,927
63110_201309,63110,201309,0.149,294
63320_201309,63320,201309,0.2417,300
63410_201309,63410,201309,0.2944,165
63620_201309,63620,201309,0.1881,498
63621_201309,63621,201309,0.1881,498
63622_201309,63622,201309,0.1881,498
63710_201309,63710,201309,0.1215,157
63810_201309,63810,201309,0.2347,849
63110_201607,63110,201607,0.1894,332
63320_201607,63320,201607,0.244,5377
63620_201607,63620,201607,0.2178,298
63621_201607,63621,201607,0.2178,298
63710_201607,63710,201607,0.1005,238
63810_201607,63810,201607,0.255,641
63901_201607,63901,201607,0.1902,160
63110_201905,63110,201905,0.197,633
63320_201905,63320,201905,0.1868,2844
63620_201905,63620,201905,0.3026,3753
63621_201905,63621,201905,0.3026,3753
63710_201905,63710,201905,0.1661,216
63810_201905,63810,201905,0.3249,4571
63901_201905,63901,201905,0.1681,274
63110_202205,63110,202205,0.1493,2390
63320_202205,63320,202205,0.2735,891
63620_202205,63620,202205,0.257,7192
63621_202205,63621,202205,0.257,7192
63710_202205,63710,202205,0.0212,26
63810_202205,63810,202205,0.2507,6649
63901_202205,63901,202205,0.1681,274
64320_196011,64320,196011,0.116,329
64620_196011,64620,196011,0.1542,806
64951_196011,64951,196011,0.0808,279
64320_196311,64320,196311,0.0772,622
64620_196311,64620,196311,0.1626,882
64951_196311,64951,196311,0.0368,464
64320_196611,64320,196611,0.0821,975
64620_196611,64620,196611,0.1063,802
64951_196611,64951,196611,0.0913,670
64320_196911,64320,196911,0.1243,1042
64620_196911,64620,196911,0.1279,1526
64951_196911,64951,196911,0.1054,1316
64320_197211,64320,197211,0.1664,1213
64620_197211,64620,197211,0.1307,1616
64951_197211,64951,197211,0.083,1182
64320_197511,64320,197511,0.2062,1170
64620_197511,64620,197511,0.2043,2132
64951_197511,64951,197511,0.1102,1721
64320_197811,64320,197811,0.2148,2383
64620_197811,64620,197811,0.2108,1694
64951_197811,64951,197811,0.1224,2058
64320_198111,64320,198111,0.237,352
64620_198111,64620,198111,0.2172,1561
64951_198111,64951,198111,0.1101,1702
64320_198407,64320,198407,0.1859,2307
64620_198407,64620,198407,0.1123,128
64951_198407,64951,198407,0.1498,214
64320_198708,64320,198708,0.2554,109
64620_198708,64620,198708,0.1584,826
64951_198708,64951,198708,0.1705,256
64320_199010,64320,199010,0.1923,1712
64620_199010,64620,199010,0.2101,421
64951_199010,64951,199010,0.1099,220
64320_199311,64320,199311,0.2296,1812
64321_199311,64321,199311,0.0629,321
64620_199311,64620,199311,0.1736,592
64621_199311,64621,199311,0.16,786
64320_199610,64320,199610,0.454,72
64321_199610,64321,199610,0.0734,277
64420_199610,64420,199610,0.1645,144
64620_199610,64620,199610,0.1218,467
64621_199610,64621,199610,0.269,97
64110_199911,64110,199911,0.1777,969
64320_199911,64320,199911,0.2797,495
64321_199911,64321,199911,0.1438,223
64420_199911,64420,199911,0.1538,352
64620_199911,64620,199911,0.289,161
64621_199911,64621,199911,0.1384,585
64110_200207,64110,200207,0.2821,72
64320_200207,64320,200207,0.2257,2893
64420_200207,64420,200207,0.0674,1230
64421_200207,64421,200207,0.1687,101
64422_200207,64422,200207,0.1392,92
64621_200207,64621,200207,0.1814,1194
64110_200509,64110,200509,0.2749,78
64320_200509,64320,200509,0.2986,160
64420_200509,64420,200509,-0.6057,3
64422_200509,64422,200509,0.0609,19
64620_200509,64620,200509,0.0913,147
64901_200509,64901,200509,0.2095,7
64110_200811,64110,200811,0.1868,181
64320_200811,64320,200811,0.1776,240
64420_200811,64420,200811,0.1482,48
64421_200811,64421,200811,0.2196,15
64422_200811,64422,200811,0.3003,64
64620_200811,64620,200811,0.2193,220
64901_200811,64901,200811,0.2679,279
64110_201111,64110,201111,0.4771,68
64320_201111,64320,201111,0.0307,110
64420_201111,64420,201111,0.0892,196
64421_201111,64421,201111,0.1169,65
64620_201111,64620,201111,0.1932,5028
64621_201111,64621,201111,0.1129,174
64901_201111,64901,201111,0.2691,334
64902_201111,64902,201111,0.1054,352
64110_201409,64110,201409,0.1805,3404
64320_201409,64320,201409,0.2204,138
64420_201409,64420,201409,-0.0208,198
64421_201409,64421,201409,0.1346,380
64620_201409,64620,201409,0.2137,3588
64621_201409,64621,201409,0.1663,1392
64901_201409,64901,201409,0.3511,181
64110_201709,64110,201709,0.2387,1724
64320_201709,64320,201709,0.2046,887
64420_201709,64420,201709,0.0781,198
64620_201709,64620,201709,0.3063,391
64621_201709,64621,201709,0.1736,629
64901_201709,64901,201709,0.1641,185
64110_202010,64110,202010,0.2104,643
64320_202010,64320,202010,0.3112,443
64420_202010,64420,202010,0.0932,1283
64620_202010,64620,202010,0.1996,1581
64621_202010,64621,202010,0.1317,302
64901_202010,64901,202010,0.1264,778
72903_200301,72903,200301,0.4249,12
80220_199412,80220,199412,0.1108,312
80410_199412,80410,199412,-0.0151,345
80811_199412,80811,199412,0.0756,110
80951_199412,80951,199412,0.1357,143
92710_199110,92710,199110,-0.0043,88
92210_199309,92210,199309,0.0992,63
92322_199309,92322,199309,0.0489,70
92410_199309,92410,199309,0.293,16
92710_199309,92710,199309,-0.1075,26
92811_199309,92811,199309,0.097,56
96952_199006,96952,199006,0.2145,38
96220_199206,96220,199206,0.2324,108
181310_199404,181310,199404,0.1646,165
181410_199404,181410,199404,0.0903,210
181310_199906,181310,199906,0.1782,319
181410_199906,181410,199906,0.0019,553
181910_199906,181910,199906,0.2138,58
181310_200404,181310,200404,0.129,70
181411_200404,181411,200404,0.0805,586
181910_200404,181910,200404,0.1415,231
181310_200904,181310,200904,0.1562,286
181411_200904,181411,200904,0.1516,602
181420_200904,181420,200904,0.2274,78
181910_200904,181910,200904,0.119,377
181210_201405,181210,201405,0.0345,436
181310_201405,181310,201405,0.1684,510
181411_201405,181411,201405,0.1969,622
181420_201405,181420,201405,0.0843,148
181910_201405,181910,201405,0.152,241
181210_201905,181210,201905,0.0925,960
181310_201905,181310,201905,0.1887,502
181311_201905,181311,201905,0.1097,309
181320_201905,181320,201905,0.4039,129
181325_201905,181325,201905,0.0564,129
181411_201905,181411,201905,0.0841,1552
181420_201905,181420,201905,0.1464,181
181510_201905,181510,201905,0.0873,16
181520_201905,181520,201905,0.0575,281
181710_201905,181710,201905,0.0978,467
181910_201905,181910,201905,0.2192,124
181980_201905,181980,201905,0.1292,101
