manifesto_id,party,date,mean_score,n_sentences
64421_200811,64421,200811,0.3333,15
64422_200811,64422,200811,0.4531,64
64620_200811,64620,200811,0.2682,220
64901_200811,64901,200811,0.5842,279
64110_201111,64110,201111,0.6471,68
64320_201111,64320,201111,0.2818,110
64420_201111,64420,201111,0.2041,196
64421_201111,64421,201111,0.3692,65
64620_201111,64620,201111,0.4157,5028
64621_201111,64621,201111,0.2241,174
64901_201111,64901,201111,0.521,334
64902_201111,64902,201111,0.4148,352
64110_201409,64110,201409,0.4101,3404
64320_201409,64320,201409,0.3696,138
64420_201409,64420,201409,0.1717,198
64421_201409,64421,201409,0.6974,380
64620_201409,64620,201409,0.4727,3588
64621_201409,64621,201409,0.5029,1392
64901_201409,64901,201409,0.6298,181
64110_201709,64110,201709,0.5261,1724
64320_201709,64320,201709,0.4938,887
64420_201709,64420,201709,0.303,198
64620_201709,64620,201709,0.7263,391
64621_201709,64621,201709,0.4897,629
64901_201709,64901,201709,0.6324,185
64110_202010,64110,202010,0.4992,643
64320_202010,64320,202010,0.6072,443
64420_202010,64420,202010,0.2346,1283
64620_202010,64620,202010,0.3523,1581
64621_202010,64621,202010,0.5629,302
64901_202010,64901,202010,0.2802,778
72903_200301,72903,200301,0.0833,12
80220_199412,80220,199412,0.3077,312
80410_199412,80410,199412,0.2377,345
80811_199412,80811,199412,0.2909,110
80951_199412,80951,199412,0.5734,143
92710_199110,92710,199110,0.0341,88
92210_199309,92210,199309,0.5397,63
92322_199309,92322,199309,0.2,70
92410_199309,92410,199309,0.6875,16
92710_199309,92710,199309,0.4615,26
92811_199309,92811,199309,0.4107,56
96952_199006,96952,199006,0.5263,38
96220_199206,96220,199206,0.6759,108
181310_199404,181310,199404,0.3333,165
181410_199404,181410,199404,0.4286,210
181310_199906,181310,199906,0.4295,319
181410_199906,181410,199906,0.1338,553
181910_199906,181910,199906,0.1724,58
181310_200404,181310,200404,0.5857,70
181411_200404,181411,200404,0.2696,586
181910_200404,181910,200404,0.3074,231
181310_200904,181310,200904,0.5629,286
181411_200904,181411,200904,0.3937,602
181420_200904,181420,200904,0.6667,78
181910_200904,181910,200904,0.2414,377
181210_201405,181210,201405,0.3165,436
181310_201405,181310,201405,0.5431,510
181411_201405,181411,201405,0.4598,622
181420_201405,181420,201405,0.6081,148
181910_201405,181910,201405,0.1037,241
181210_201905,181210,201905,0.3531,960
181310_201905,181310,201905,0.5319,502
181311_201905,181311,201905,0.2039,309
181320_201905,181320,201905,0.5271,129
181325_201905,181325,201905,0.4729,129
181411_201905,181411,201905,0.3647,1552
181420_201905,181420,201905,0.4696,181
181510_201905,181510,201905,1.0,16
181520_201905,181520,201905,0.2313,281
181710_201905,181710,201905,0.1991,467
181910_201905,181910,201905,0.3065,124
181980_201905,181980,201905,0.297,101
