"party","parfam","partyname"
155027,20,"Approve Dignity"
155030,30,"New Social Pact"
155061,60,"Chile we can do more"
155062,60,"Christian Social Front"
155401,40,"Party of the People"
160031,30,"United People's Alliance"
160041,40,"Change 94"
160061,60,"Democratic Alliance"
160521,50,"Christian Democratic Party"
160624,60,"Doctrinaire Panameñista Party"
160953,999,"Papa Egoro Movement"
160031,30,"Alliance for a New Nation"
160051,50,"Oppositon Action Alliance"
160061,60,"Alliance Union for Panama"
160031,30,"Alliance for a New Fatherland"
160061,60,"Alliance of Vision for the Country"
160630,60,"Democratic Change"
160711,70,"Solidarity Party"
160031,30,"A Country For All"
160062,60,"Alliance for Change"
160061,60,"Alliance for Village First"
160062,60,"United for change"
160221,20,"Broad Front for Democracy"
160321,30,"Democratic Revolutionary Party"
160031,30,"Joining forces"
160061,60,"Panama We Can Alliance"
160062,60,"For a Good Return"
160954,999,"Independent"
160955,999,"Independent"
160956,999,"Independent"
162210,20,"Popular Assembly"
162310,30,"Broad Front"
162410,40,"Colorado Party"
162510,50,"Independent Party"
162610,60,"National Party"
168321,30,"Dominican Revolutionary Party"
168331,30,"Dominican Liberation Party"
168510,50,"Social Christian Reformist Party"
168322,30,"Modern Revolutionary Party"
171301,30,"Institutional Revolutionary Party"
171601,60,"National Action Party"
171302,30,"Popular Socialist Party"
171303,30,"Authentic Party of the Mexican Revolution"
171201,20,"Mexican Communist Party"
171304,30,"Workers’ Socialist Party"
171203,20,"Unified Socialist Party of Mexico"
171202,20,"Revolutionary Workers’ Party"
171308,30,"Mexican Workers’ Party"
171307,30,"National Democratic Front"
171304,30,"Party of the Cardenist Front of National Reconstruction"
171305,30,"Democratic Revolutionary Party"
171306,30,"Labor Party"
171101,10,"Mexican Green Ecologist Party"
171031,30,"Alliance for Mexico 2000"
171601,60,"Alliance for Change"
171311,30,"Convergence for Democracy"
171032,30,"Alliance for Mexico 2006"
171033,30,"Coalition ‘For the Good of All'"
171309,30,"New Alliance Party"
171310,30,"Social Democratic and Farmer Alternative Party"
171032,30,"Coalition ‘Mexico First'"
171034,30,"Coalition ‘We save Mexico'"
171310,30,"Social Democratic Party"
171311,30,"Convergence"
171032,30,"Commitment for Mexico"
171035,30,"Progressive Movement"
171311,30,"Citizens' Movement"
171210,20,"National Regeneration Movement"
171611,60,"Social Encounter Party"
179043,40,"Center Front"
179051,50,"National Unity"
179061,60,"Alliance for the Future"
179321,30,"Peruvian Aprista Party"
179421,40,"Union for Peru"
179021,20,"Peru Wins"
179041,40,"Alliance Possible Peru"
179052,50,"Alliance for the Great Change"
179625,60,"Force 2011"
179982,98,"National Solidarity Alliance"
179031,30,"The Broad Front for Justice, Life and Liberty"
179042,40,"Alliance for Progress of Peru"
179422,40,"Popular Action"
179611,60,"Peruvians for Change"
179625,60,"People’s Force"
179983,98,"Popular Alliance"
180230,20,"Popular Front Brazil"
180250,20,"Democratic Labour Party"
180309,50,"Party of Brazilian Social Democracy"
180410,40,"New Brazil Movement"
180610,60,"Democratic Social Party"
180230,20,"A democratic revolution in Brazil"
180310,60,"Let’s work Brazil"
180710,70,"Party of the Reconstruction of the National Order"
180230,20,"Union of the People - Change Brazil"
180232,20,"Socialist People's Party"
180310,60,"Go ahead Brazil"
180230,20,"Coalition Lula for President"
180240,20,"Hope for Brasil Coalition"
180310,60,"Coalition Big Alliance"
180320,30,"Labour Front Coalition"
180230,20,"Coalition the People's Power"
180231,20,"Left Front"
180310,60,"Coalition for a decent Brazil"
180110,10,"Green Party"
180230,20,"For Brazil to keep on changing"
180310,60,"Brazil can do more"
180230,20,"With the strength of the people"
180240,20,"United for Brazil"
180310,60,"Change, Brazil"
180230,20,"The People happy again"
180251,30,"Soverign Brazil"
180310,60,"To unite Brazil"
180620,70,"Brazil above everything, God above everyone"
180230,20,"Brazil of Hope"
180311,30,"Brazil for Everyone"
180620,70,"For the Good of Brazil"
181310,30,"African National Congress"
181410,40,"Democratic Party"
181910,90,"Inkatha Freedom Party"
181411,40,"Democratic Alliance"
181420,40,"Congress of the People"
181210,20,"Economic Freedom Fighters"
181311,30,"United Democratic Movement"
181320,30,"Good"
181325,30,"National Freedom Party"
181510,50,"African Christian Democratic Party"
181520,50,"African Transformation Movement"
181710,70,"Freedom Front Plus"
181980,90,"African Independent Congress"
