"party","parfam","partyname"
34313,30,"Panhellenic Socialist Movement"
34510,50,"Centre Union"
34511,50,"New Democracy"
34510,50,"Union of the Democratic Centre"
34610,60,"National Alignment"
34211,20,"Progressive Left Coalition"
34512,50,"Political Spring"
34314,30,"Democratic Social Movement"
34020,20,"Coalition of the Radical Left"
34710,70,"Popular Orthodox Rally"
34213,20,"Democratic Left"
34720,70,"Golden Dawn"
34730,70,"Independent Greeks"
34212,20,"Coalition of the Radical Left - Unionist Social Front"
34212,20,"Coalition of the Radical Left"
34340,30,"The River"
34214,20,"Popular Unity"
34410,40,"Union of Centrists"
34215,20,"European Realistic Disobedience Front"
34315,30,"Movement for Change"
34711,70,"Greek Solution"
34315,30,"PASOK – Movement for Change"
35210,20,"Popular Democratic Union"
35220,20,"Portuguese Communist Party"
35310,30,"Popular Democratic Movement"
35311,30,"Socialist Party"
35313,60,"Popular Democratic Party"
35520,50,"Social Democratic Center Party"
35710,70,"Popular Monarchist Party"
35313,60,"Social Democratic Party"
35316,30,"Association of Independent Social Democrats"
35317,30,"Leftwing Union for the Socialist Democracy"
35110,10,"Ecologist Party ‘The Greens'"
35312,30,"Democratic Renewal Party"
35315,30,"Democratic Intervention"
35229,20,"Unified Democratic Coalition"
35951,95,"National Solidarity Party"
35520,50,"Social Democratic Center-Popular Party"
35211,20,"Left Bloc"
35060,60,"Portugal Ahead"
35120,10,"People-Animals-Nature"
35130,10,"Free"
35410,40,"Liberal Iniciative"
35720,70,"Enough"
41220,20,"Communist Party of Germany"
41320,30,"Social Democratic Party of Germany"
41420,40,"Free Democratic Party"
41521,50,"Christian Democratic Union/Christian Social Union"
41522,50,"Centre Party"
41620,60,"German Party"
41711,70,"Economic Reconstruction League"
41712,70,"German Reich Party"
41911,90,"Bavarian Party"
41912,90,"South Schleswig Voters’ Union"
41951,95,"Refugee Party"
41111,10,"The Greens"
41112,10,"Greens/Alliance‘90"
41221,20,"Party of Democratic Socialism"
41113,10,"Alliance‘90/Greens"
41222,20,"The Left. Party of Democratic Socialism"
41223,20,"The Left"
41952,95,"Pirates"
41953,70,"Alternative for Germany"
41730,70,"Sahra Wagenknecht Alliance – Reason and Justice"
42320,30,"Austrian Social Democratic Party"
42420,70,"League of Independents"
42520,50,"Austrian People’s Party"
42420,70,"Austrian Freedom Party"
42110,10,"Green Alternative"
42110,10,"The Greens"
42421,40,"Liberal Forum"
42420,70,"Freedom Movement"
42220,20,"Austrian Communist Party"
42710,70,"Alliance for the Future of Austria"
42430,40,"The New Austria"
42951,95,"Team Stronach for Austria"
42120,10,"Peter Pilz List"
42430,40,"The New Austria and Liberal Forum"
43320,30,"Social Democratic Party of Switzerland"
43321,30,"Independents’ Alliance"
43420,40,"Radical Democratic Party"
43520,50,"Conservative People’s Party"
43810,70,"Farmers’, Traders’ and Citizens’ Party"
43520,50,"Conservative Christian Social Party"
43520,50,"Christian Democratic People’s Party of Switzerland"
43530,50,"Protestant People’s Party of Switzerland"
43710,70,"National Action against Foreign Domination"
43810,70,"Swiss People’s Party"
43110,10,"Greens"
43710,70,"National Action for People and Fatherland"
43110,10,"Federation of Green Parties"
43110,10,"Green Party of Switzerland"
43951,95,"Swiss Motorists’ Party"
43220,20,"Swiss Labour Party"
43531,40,"Liberal Party of Switzerland"
43710,70,"Swiss Democrats"
43711,70,"Federal Democratic Union"
43951,95,"Freedom Party of Switzerland"
43120,10,"Green Liberal Party"
43540,50,"Christian Social Party"
43901,90,"Ticino League"
43420,40,"FDP.The Liberals"
43811,60,"Conservative Democratic Party of Switzerland"
43902,90,"Geneva Citizens' Movement"
43020,20,"Together on the Left"
51320,30,"Labour Party"
51420,40,"Liberal Party"
51620,60,"Conservative Party"
51330,30,"Social Democratic Party"
51421,40,"Liberal Democrats"
51621,60,"Ulster Unionist Party"
51902,90,"Scottish National Party"
51903,90,"Democratic Unionist Party"
51210,20,"We Ourselves"
51951,95,"United Kingdom Independence Party"
51110,10,"Green Party of England and Wales"
51340,30,"Social Democratic and Labour Party"
51901,90,"The Party of Wales"
51430,40,"Alliance Party of Northern Ireland"
