manifesto_id,party,date,mean_score,std_score,n_sentences
63901_201607,63901,201607,0.975,0.1561,160
63110_201905,63110,201905,0.9968,0.0794,633
63320_201905,63320,201905,0.9923,0.0876,2844
63620_201905,63620,201905,0.992,0.0948,3753
63621_201905,63621,201905,0.992,0.0948,3753
63710_201905,63710,201905,0.9954,0.0679,216
63810_201905,63810,201905,0.9921,0.0955,4571
63901_201905,63901,201905,0.9635,0.1875,274
63110_202205,63110,202205,0.9941,0.0763,2390
63320_202205,63320,202205,0.991,0.0943,891
63620_202205,63620,202205,0.9835,0.1286,7192
63621_202205,63621,202205,0.9835,0.1286,7192
63710_202205,63710,202205,1.0,0.0,26
63810_202205,63810,202205,0.9838,0.1276,6649
63901_202205,63901,202205,0.9635,0.1875,274
64320_196011,64320,196011,0.9818,0.1338,329
64620_196011,64620,196011,0.9752,0.1556,806
64951_196011,64951,196011,0.9928,0.0844,279
64320_196311,64320,196311,0.9871,0.1127,622
64620_196311,64620,196311,0.9932,0.0822,882
64951_196311,64951,196311,0.9935,0.0801,464
64320_196611,64320,196611,0.9846,0.1231,975
64620_196611,64620,196611,0.9925,0.0862,802
64951_196611,64951,196611,0.9866,0.1151,670
64320_196911,64320,196911,0.9846,0.123,1042
64620_196911,64620,196911,0.9908,0.0953,1526
64951_196911,64951,196911,0.9871,0.1129,1316
64320_197211,64320,197211,0.9843,0.1242,1213
64620_197211,64620,197211,0.9876,0.1106,1616
64951_197211,64951,197211,0.9839,0.1258,1182
64320_197511,64320,197511,0.988,0.1087,1170
64620_197511,64620,197511,0.9864,0.1158,2132
64951_197511,64951,197511,0.9855,0.1196,1721
64320_197811,64320,197811,0.9866,0.1151,2383
64620_197811,64620,197811,0.9894,0.1025,1694
64951_197811,64951,197811,0.9845,0.1237,2058
64320_198111,64320,198111,0.9716,0.1661,352
64620_198111,64620,198111,0.9962,0.0619,1561
64951_198111,64951,198111,0.9812,0.1358,1702
64320_198407,64320,198407,0.9874,0.1114,2307
64620_198407,64620,198407,1.0,0.0,128
64951_198407,64951,198407,1.0,0.0,214
64320_198708,64320,198708,1.0,0.0,109
64620_198708,64620,198708,0.9952,0.0694,826
64951_198708,64951,198708,1.0,0.0,256
64320_199010,64320,199010,0.9907,0.0962,1712
64620_199010,64620,199010,0.9834,0.1279,421
64951_199010,64951,199010,0.9818,0.1336,220
64320_199311,64320,199311,0.9851,0.1212,1812
64321_199311,64321,199311,1.0,0.0,321
64620_199311,64620,199311,0.9865,0.1155,592
64621_199311,64621,199311,0.9898,0.1004,786
64320_199610,64320,199610,0.9583,0.1998,72
64321_199610,64321,199610,0.9892,0.1035,277
64420_199610,64420,199610,0.9722,0.1643,144
64620_199610,64620,199610,0.9914,0.0922,467
64621_199610,64621,199610,0.9794,0.1421,97
64110_199911,64110,199911,0.9959,0.0641,969
64320_199911,64320,199911,0.9859,0.1181,495
