manifesto_id,party,date,mean_score,n_sentences
64620_198708,64620,198708,1.0,826
64951_198708,64951,198708,1.0,256
64320_199010,64320,199010,1.0,1712
64620_199010,64620,199010,1.0,421
64951_199010,64951,199010,1.0,220
64320_199311,64320,199311,1.0,1812
64321_199311,64321,199311,1.0,321
64620_199311,64620,199311,1.0,592
64621_199311,64621,199311,1.0,786
64320_199610,64320,199610,1.0,72
64321_199610,64321,199610,1.0,277
64420_199610,64420,199610,1.0,144
64620_199610,64620,199610,1.0,467
64621_199610,64621,199610,1.0,97
64110_199911,64110,199911,1.0,969
64320_199911,64320,199911,1.0,495
64321_199911,64321,199911,1.0,223
64420_199911,64420,199911,1.0,352
64620_199911,64620,199911,1.0,161
64621_199911,64621,199911,1.0,585
64110_200207,64110,200207,1.0,72
64320_200207,64320,200207,1.0,2893
64420_200207,64420,200207,1.0,1230
64421_200207,64421,200207,1.0,101
64422_200207,64422,200207,1.0,92
64621_200207,64621,200207,1.0,1194
64110_200509,64110,200509,1.0,78
64320_200509,64320,200509,1.0,160
64420_200509,64420,200509,1.0,3
64422_200509,64422,200509,1.0,19
64620_200509,64620,200509,1.0,147
64901_200509,64901,200509,1.0,7
64110_200811,64110,200811,1.0,181
64320_200811,64320,200811,1.0,240
64420_200811,64420,200811,1.0,48
64421_200811,64421,200811,1.0,15
64422_200811,64422,200811,1.0,64
64620_200811,64620,200811,1.0,220
64901_200811,64901,200811,1.0,279
64110_201111,64110,201111,1.0,68
64320_201111,64320,201111,1.0,110
64420_201111,64420,201111,1.0,196
64421_201111,64421,201111,1.0,65
64620_201111,64620,201111,1.0,5028
64621_201111,64621,201111,1.0,174
64901_201111,64901,201111,1.0,334
64902_201111,64902,201111,1.0,352
64110_201409,64110,201409,1.0,3404
64320_201409,64320,201409,1.0,138
64420_201409,64420,201409,1.0,198
64421_201409,64421,201409,1.0,380
64620_201409,64620,201409,1.0,3588
64621_201409,64621,201409,1.0,1392
64901_201409,64901,201409,1.0,181
64110_201709,64110,201709,1.0,1724
64320_201709,64320,201709,1.0,887
64420_201709,64420,201709,1.0,198
64620_201709,64620,201709,1.0,391
64621_201709,64621,201709,1.0,629
64901_201709,64901,201709,1.0,185
64110_202010,64110,202010,1.0,643
64320_202010,64320,202010,1.0,443
64420_202010,64420,202010,1.0,1283
64620_202010,64620,202010,1.0,1581
64621_202010,64621,202010,1.0,302
64901_202010,64901,202010,1.0,778
72903_200301,72903,200301,1.0,12
80220_199412,80220,199412,1.0,312
80410_199412,80410,199412,1.0,345
80811_199412,80811,199412,1.0,110
80951_199412,80951,199412,1.0,143
92710_199110,92710,199110,1.0,88
92210_199309,92210,199309,1.0,63
92322_199309,92322,199309,1.0,70
92410_199309,92410,199309,1.0,16
92710_199309,92710,199309,1.0,26
92811_199309,92811,199309,1.0,56
96952_199006,96952,199006,1.0,38
96220_199206,96220,199206,1.0,108
181310_199404,181310,199404,1.0,165
181410_199404,181410,199404,1.0,210
181310_199906,181310,199906,1.0,319
181410_199906,181410,199906,1.0,553
181910_199906,181910,199906,1.0,58
181310_200404,181310,200404,1.0,70
181411_200404,181411,200404,1.0,586
181910_200404,181910,200404,1.0,231
181310_200904,181310,200904,1.0,286
181411_200904,181411,200904,1.0,602
181420_200904,181420,200904,1.0,78
181910_200904,181910,200904,1.0,377
181210_201405,181210,201405,1.0,436
181310_201405,181310,201405,1.0,510
181411_201405,181411,201405,1.0,622
181420_201405,181420,201405,1.0,148
181910_201405,181910,201405,1.0,241
181210_201905,181210,201905,1.0,960
181310_201905,181310,201905,1.0,502
181311_201905,181311,201905,1.0,309
181320_201905,181320,201905,1.0,129
181325_201905,181325,201905,1.0,129
181411_201905,181411,201905,1.0,1552
181420_201905,181420,201905,1.0,181
181510_201905,181510,201905,1.0,16
181520_201905,181520,201905,1.0,281
181710_201905,181710,201905,1.0,467
181910_201905,181910,201905,1.0,124
181980_201905,181980,201905,1.0,101
