manifesto_id,party,date,mean_score
64620_199010,64620,199010,0.1793
64951_199010,64951,199010,0.1489
64320_199311,64320,199311,0.126
64321_199311,64321,199311,0.1519
64620_199311,64620,199311,0.1487
64621_199311,64621,199311,0.0618
64320_199610,64320,199610,0.1856
64321_199610,64321,199610,0.1444
64420_199610,64420,199610,0.128
64620_199610,64620,199610,0.1099
64621_199610,64621,199610,0.0691
64110_199911,64110,199911,0.0201
64320_199911,64320,199911,0.194
64321_199911,64321,199911,0.1468
64420_199911,64420,199911,0.155
64620_199911,64620,199911,0.1867
64621_199911,64621,199911,0.0781
64110_200207,64110,200207,0.1354
64320_200207,64320,200207,0.1691
64420_200207,64420,200207,0.1471
64421_200207,64421,200207,0.1496
64422_200207,64422,200207,0.2557
64621_200207,64621,200207,0.1028
64110_200509,64110,200509,0.1008
64320_200509,64320,200509,0.1022
64420_200509,64420,200509,-0.5027
64422_200509,64422,200509,0.0666
64620_200509,64620,200509,0.1436
64901_200509,64901,200509,0.0548
64110_200811,64110,200811,0.0284
64320_200811,64320,200811,0.1717
64420_200811,64420,200811,0.2184
64421_200811,64421,200811,0.1998
64422_200811,64422,200811,0.031
64620_200811,64620,200811,0.189
64901_200811,64901,200811,0.1572
64110_201111,64110,201111,0.0772
64320_201111,64320,201111,0.0932
64420_201111,64420,201111,0.0846
64421_201111,64421,201111,0.1429
64620_201111,64620,201111,0.1643
64621_201111,64621,201111,0.0986
64901_201111,64901,201111,0.171
64902_201111,64902,201111,0.1355
64110_201409,64110,201409,0.0748
64320_201409,64320,201409,0.1145
64420_201409,64420,201409,0.0846
64421_201409,64421,201409,0.0567
64620_201409,64620,201409,0.1502
64621_201409,64621,201409,0.1226
64901_201409,64901,201409,0.2061
64110_201709,64110,201709,0.1087
64320_201709,64320,201709,0.144
64420_201709,64420,201709,0.0697
64620_201709,64620,201709,0.0746
64621_201709,64621,201709,0.156
64901_201709,64901,201709,0.0816
64110_202010,64110,202010,0.0536
64320_202010,64320,202010,0.2162
64420_202010,64420,202010,0.1221
64620_202010,64620,202010,0.1186
64621_202010,64621,202010,0.0804
64901_202010,64901,202010,0.1318
72903_200301,72903,200301,0.3098
80220_199412,80220,199412,0.1602
80410_199412,80410,199412,0.1515
80811_199412,80811,199412,0.0952
80951_199412,80951,199412,0.1618
92710_199110,92710,199110,0.119
92210_199309,92210,199309,0.2698
92322_199309,92322,199309,0.089
92410_199309,92410,199309,0.18
92710_199309,92710,199309,-0.0109
92811_199309,92811,199309,0.1995
96952_199006,96952,199006,0.1152
96220_199206,96220,199206,0.1505
